name_unqual,cnt
uv≈w⇒x[uv∙y]≈x∙wy,4
reduce,4
dropWhile⁺,4
\\-rawMagma,4
⊓-rawMagma,4
totalPreorder,4
comm∧almostCancelʳ⇒almostCancelˡ,4
comm⇒sym[distribˡ],4
+-*-commutativeSemiring,4
isBimoduleIsomorphism,4
≰⇒≥,4
^-homo,4
∨-rawMagma,4
x∙y⁻¹≈ε⇒x≈y,4
∙-rawMagma,4
Coprime,4
from₁-cong,4
dropWhile,4
contractₗ,4
assoc∧distribˡ∧idʳ∧invʳ⇒zeʳ,4
fromPointwise,4
uv≈w⇒[x∙yu]v≈x∙yw,4
from∈,4
#-sym,4
this,4
from₂-cong,4
singleton-correct,4
⊓-cong,4
takeWhile⁺,4
"<_,_>",4
comm∧zeʳ⇒zeˡ,4
≤-totalPreorder,4
mkMatch,4
idempotentCommutativeMonoid,4
neg-distribʳ-*,4
comm∧distrˡ⇒distr,4
∘-isSemigroup,4
sequence,4
comm⇒\\≗flip-//,4
≤∧≢⇒<,4
zipWith⁺,4
∤∤-respˡ-≈,4
exponential,4
decide,4
lam,4
\\-cong₂,4
uv≈w⇒[xy∙u]v≈x∙yw,4
selfInverse⇒injective,4
UpperBound,4
uv≈w⇒[xu∙v]y≈x∙wy,4
isIdempotentCommutativeMonoid,4
selfInverse⇒bijective,4
isQuasigroupMonomorphism,4
repeat,4
⟪_⟫,4
leg₂,4
\\-leftDividesʳ,4
⊆-mergeˡ,4
+-isIdempotentCommutativeMonoid,4
transpose-⇨,4
⊓-zeroˡ,4
⊕-identityˡ,4
≤∧≉⇒<,4
empty-correct,4
[≈]-injective,4
∣∣-sym,4
_×′_,4
Decidable,4
isDecPreorder,4
∷⁻¹,4
+-mono-<,4
transpose-∧,4
comm∧idʳ⇒idˡ,4
_≋?_,4
+-*-isSemiring,4
+-cancelˡ,4
isHeytingCommutativeRing,4
_≥?_,4
x∣ʳy⇒xz∣ʳyz,4
⊓-operator,4
¬-distribʳ-⊕,4
+-*-commutativeRing,4
_∩_,4
≈-trans,4
IsGroupIsomorphism,4
x*y≉0⇒y≉0,4
uv∙wx≈u[vw∙x],4
[u∙vw]x≈uv∙wx,4
unionWith,4
isCommutativeBand,4
quasiring,4
Negative,4
∣∣-resp-≈,4
x∙yz≈xy∙z,4
Lex-<,4
+-0-abelianGroup,4
irrefl⁺,4
morphism,4
//-rawMagma,4
⊕-annihilates-¬,4
selfInverse⇒surjective,4
uv≈w⇒u∙vx≈wx,4
∧-distribʳ-⊕,4
isSemimoduleIsomorphism,4
∷ˡ⁻,4
⊥⁺<[_]<⊤⁺,4
putStr,4
[uv∙w]x≈u[v∙wx],4
foldr-cong,4
identity-unique,4
∧-rawMagma,4
Map,4
+-*-isCommutativeRing,4
⊕-∧-isCommutativeRing,4
≡-irrelevant,4
to∈,4
